trade_id,strategy,contain,direction,entry_time,entry_price,exit_time,exit_price,bars_held,price_change_%,contract_return_%,pnl_usdt,cum_pnl_usdt,trailing_activated,weak,highest,lowest,trail_price_at_exit,k1_open,k1_high,k1_low,k1_close,k2_open,k2_high,k2_low,k2_close
550,rule1,否,做多,2025-05-20 10:59,2567.00,2025-05-22 01:44,2542.22,154,-0.965,-135.15,-2.1624,1180.5963,是,是,2615.95,2442.40,,2566.11,2588.63,2566.10,2575.78,2575.78,2581.83,2558.68,2567.00
551,rule1,否,做空,2025-05-20 22:29,2473.47,2025-05-21 13:29,2497.35,59,-0.965,-135.15,-1.3515,1179.2448,是,是,2594.82,2442.40,,2475.70,2483.74,2466.82,2470.24,2470.24,2489.99,2467.58,2473.47
552,rule1,否,做多,2025-05-20 23:14,2477.39,2025-05-21 07:29,2535.79,32,2.357,330.00,5.2800,1184.5248,否,否,2541.03,2442.40,,2478.41,2484.33,2468.75,2469.20,2469.20,2478.87,2468.00,2477.39
553,rule1,否,做多,2025-05-21 05:44,2505.22,2025-05-21 13:14,2564.27,29,2.357,330.00,3.3000,1187.8248,否,否,2566.66,2488.30,,2503.04,2512.61,2495.82,2497.43,2497.44,2505.78,2490.00,2505.22
554,rule1,否,做多,2025-05-21 07:59,2524.19,2025-05-21 13:29,2583.69,21,2.357,330.00,5.2800,1193.1048,否,否,2594.82,2509.00,,2528.89,2530.80,2516.83,2518.40,2518.39,2527.00,2514.00,2524.19
555,rule1,否,做空,2025-05-21 13:59,2593.61,2025-05-21 17:14,2532.47,12,2.357,330.00,3.3000,1196.4048,否,否,2615.95,2526.27,,2580.61,2593.86,2580.61,2586.43,2586.43,2599.93,2580.63,2593.61
556,rule1,否,做多,2025-05-21 16:29,2552.51,2025-05-22 00:44,2612.68,32,2.357,330.00,5.2800,1201.6848,否,否,2615.34,2515.38,,2551.87,2562.15,2550.26,2560.53,2560.53,2560.53,2547.05,2552.51
557,rule1,否,做多,2025-05-21 17:59,2524.00,2025-05-22 00:29,2583.49,25,2.357,330.00,3.3000,1204.9848,否,否,2585.32,2515.38,,2527.13,2532.14,2518.25,2519.85,2519.84,2525.66,2517.72,2524.00
558,rule1,否,做空,2025-05-21 23:14,2564.94,2025-05-22 01:29,2504.48,8,2.357,330.00,13.2000,1218.1848,否,否,2615.34,2474.26,,2551.28,2581.04,2547.51,2580.50,2580.50,2582.18,2557.28,2564.94
559,rule1,否,做多,2025-05-22 02:59,2475.05,2025-05-22 06:59,2533.39,15,2.357,330.00,13.2000,1231.3848,否,否,2543.37,2463.46,,2473.79,2497.10,2473.40,2495.89,2495.90,2496.38,2472.76,2475.05
