trade_id,strategy,contain,direction,entry_time,entry_price,exit_time,exit_price,bars_held,price_change_%,contract_return_%,pnl_usdt,cum_pnl_usdt,trailing_activated,weak,highest,lowest,trail_price_at_exit,k1_open,k1_high,k1_low,k1_close,k2_open,k2_high,k2_low,k2_close
371,rule1,否,做多,2025-03-10 08:14,2070.20,2025-03-10 09:29,2119.00,4,2.357,330.00,3.3000,156.3304,否,否,2152.40,2047.83,,2070.80,2076.00,2067.89,2075.29,2075.30,2077.30,2064.00,2070.20
372,rule1,否,做多,2025-03-10 14:59,2018.96,2025-03-10 17:14,1942.53,8,-3.786,-530.00,-21.2000,135.1304,否,否,2043.79,1930.00,,2021.11,2029.22,2003.11,2004.03,2004.03,2021.73,1997.00,2018.96
373,rule1,否,做空,2025-03-10 15:44,2026.62,2025-03-10 17:14,1978.85,5,2.357,330.00,5.2800,140.4104,否,否,2039.31,1930.00,,2027.50,2027.94,2011.68,2018.32,2018.32,2043.79,2018.06,2026.62
374,rule1,否,做多,2025-03-10 18:29,1911.83,2025-03-10 18:59,1839.45,1,-3.786,-530.00,-21.2000,119.2104,否,否,1918.28,1812.76,,1917.48,1939.12,1909.41,1931.68,1931.67,1935.48,1902.00,1911.83
376,rule1,否,做空,2025-03-10 23:14,1885.25,2025-03-11 00:29,1840.81,4,2.357,330.00,5.2800,124.4904,否,否,1894.94,1830.13,,1871.48,1886.64,1870.89,1880.02,1880.03,1895.49,1879.56,1885.25
375,rule1,否,做多,2025-03-10 20:59,1869.18,2025-03-11 00:59,1798.42,15,-3.786,-530.00,-21.2000,103.2904,否,否,1903.99,1754.28,,1871.25,1875.42,1851.38,1854.73,1854.73,1881.97,1843.23,1869.18
377,rule1,否,做空,2025-03-11 01:29,1809.72,2025-03-11 03:14,1878.23,6,-3.786,-530.00,-21.2000,82.0904,否,否,1881.52,1809.19,,1813.96,1816.10,1774.13,1794.06,1794.05,1818.62,1787.49,1809.72
379,rule1,否,做多,2025-03-11 11:59,1914.12,2025-03-11 13:29,1959.24,5,2.357,330.00,13.2000,95.2904,否,否,1962.98,1867.00,,1914.56,1925.51,1912.62,1924.99,1924.99,1926.00,1912.20,1914.12
378,rule1,否,做空,2025-03-11 05:59,1893.60,2025-03-11 14:44,1848.97,34,2.357,330.00,5.2800,100.5704,是,是,1962.98,1840.53,,1893.27,1894.95,1883.39,1887.01,1887.01,1898.02,1884.91,1893.60
380,rule1,否,做多,2025-03-11 14:29,1872.08,2025-03-11 15:29,1916.21,3,2.357,330.00,13.2000,113.7704,否,否,1918.43,1840.53,,1903.31,1912.63,1869.19,1890.50,1890.50,1894.68,1868.38,1872.08
381,rule1,否,做空,2025-03-11 14:59,1866.89,2025-03-11 18:14,1937.57,12,-3.786,-530.00,-21.2000,92.5704,否,否,1945.58,1864.27,,1872.08,1884.96,1840.53,1853.34,1853.32,1887.00,1843.06,1866.89
382,rule1,否,做多,2025-03-11 17:44,1902.56,2025-03-11 18:29,1947.41,2,2.357,330.00,13.2000,105.7704,否,否,1959.00,1898.18,,1910.26,1915.66,1888.21,1891.69,1891.69,1903.70,1886.55,1902.56
383,rule1,否,做多,2025-03-12 04:29,1856.30,2025-03-12 07:14,1900.06,10,2.357,330.00,3.3000,109.0704,否,否,1904.61,1852.30,,1868.89,1868.90,1855.70,1863.45,1863.46,1864.20,1854.36,1856.30
385,rule1,否,做空,2025-03-12 08:44,1925.53,2025-03-12 09:29,1880.14,2,2.357,330.00,13.2000,122.2704,否,否,1960.00,1877.67,,1925.77,1927.80,1871.11,1914.93,1914.94,1930.34,1909.78,1925.53
386,rule1,否,做空,2025-03-12 12:14,1911.68,2025-03-12 14:44,1866.62,9,2.357,330.00,5.2800,127.5504,否,否,1947.00,1856.05,,1908.93,1919.39,1906.39,1916.84,1916.85,1922.71,1908.19,1911.68
384,rule1,否,做多,2025-03-12 08:29,1914.93,2025-03-12 15:14,1842.44,26,-3.786,-530.00,-21.2000,106.3504,否,否,1960.00,1829.72,,1911.26,1926.86,1908.83,1925.77,1925.77,1927.80,1871.11,1914.93
387,rule1,否,做多,2025-03-12 18:14,1875.42,2025-03-13 08:29,1857.32,56,-0.965,-135.15,-2.1624,104.1880,是,是,1917.12,1854.39,,1875.60,1882.96,1865.60,1867.81,1867.82,1878.39,1865.19,1875.42
390,rule1,否,做空,2025-03-13 01:29,1901.12,2025-03-13 08:29,1856.31,27,2.357,330.00,3.3000,107.4880,否,否,1916.26,1854.39,,1899.98,1906.27,1893.85,1904.58,1904.57,1908.95,1894.70,1901.12
388,rule1,否,做空,2025-03-12 18:59,1878.65,2025-03-13 10:14,1896.79,60,-0.965,-135.15,-1.3515,106.1365,是,是,1917.12,1853.90,,1879.38,1884.57,1873.08,1884.36,1884.35,1888.19,1876.20,1878.65
389,rule1,否,做多,2025-03-13 01:14,1904.58,2025-03-13 13:44,1886.19,49,-0.965,-135.15,-1.3515,104.7850,是,是,1923.09,1853.90,,1905.27,1905.56,1897.08,1899.96,1899.98,1906.27,1893.85,1904.58
392,rule1,否,做空,2025-03-13 10:59,1900.20,2025-03-13 16:44,1855.41,22,2.357,330.00,5.2800,110.0650,否,否,1923.09,1855.21,,1886.76,1900.98,1886.76,1894.64,1894.63,1905.38,1889.23,1900.20
391,rule1,否,做空,2025-03-13 10:44,1894.64,2025-03-13 17:29,1849.98,26,2.357,330.00,5.2800,115.3450,否,否,1923.09,1840.32,,1894.64,1898.20,1867.53,1886.76,1886.76,1900.98,1886.76,1894.64
394,rule1,否,做多,2025-03-13 16:59,1857.67,2025-03-14 05:44,1897.08,50,2.121,297.00,2.9700,118.3150,是,否,1899.58,1821.81,,1858.05,1868.41,1855.21,1862.74,1862.74,1862.95,1851.03,1857.67
393,rule1,否,做多,2025-03-13 15:29,1880.59,2025-03-14 14:44,1920.49,92,2.121,297.00,4.7520,123.0670,是,是,1924.22,1821.81,,1884.56,1889.55,1871.64,1875.69,1875.73,1884.07,1870.31,1880.59
395,rule1,否,做多,2025-03-14 02:14,1886.18,2025-03-14 15:14,1926.19,51,2.121,297.00,2.9700,126.0370,是,是,1935.69,1877.69,,1886.80,1889.37,1880.23,1881.60,1881.59,1887.00,1880.20,1886.18
396,rule1,否,做空,2025-03-14 10:59,1898.15,2025-03-14 21:29,1916.47,41,-0.965,-135.15,-2.1624,123.8746,是,是,1945.64,1877.69,,1896.81,1906.57,1893.80,1903.53,1903.54,1908.93,1897.65,1898.15
397,rule1,否,做多,2025-03-14 12:59,1902.79,2025-03-15 16:44,1943.16,110,2.121,297.00,2.9700,126.8446,是,是,1945.64,1877.69,,1904.56,1905.26,1899.00,1899.20,1899.20,1902.87,1894.80,1902.79
398,rule1,否,做空,2025-03-14 17:14,1933.73,2025-03-15 21:44,1952.40,113,-0.965,-135.15,-1.3515,125.4931,是,是,1957.19,1903.75,,1931.89,1937.56,1927.90,1936.44,1936.43,1939.99,1932.13,1933.73
399,rule1,否,做空,2025-03-14 19:29,1936.15,2025-03-15 21:44,1954.84,104,-0.965,-135.15,-2.1624,123.3307,是,是,1957.19,1903.75,,1935.02,1943.78,1931.88,1941.00,1941.01,1945.25,1934.23,1936.15
400,rule1,否,做多,2025-03-15 13:14,1927.47,2025-03-16 09:44,1908.86,81,-0.965,-135.15,-1.3515,121.9792,是,是,1957.19,1905.23,,1927.75,1929.96,1923.00,1923.00,1923.01,1927.50,1922.55,1927.47
401,rule1,否,做空,2025-03-15 16:59,1937.78,2025-03-16 11:14,1896.67,72,2.121,297.00,2.9700,124.9492,是,是,1957.19,1887.75,,1935.85,1943.32,1933.89,1941.07,1941.07,1945.27,1937.78,1937.78
403,rule1,否,做多,2025-03-16 11:44,1871.19,2025-03-16 16:14,1915.30,17,2.357,330.00,13.2000,138.1492,否,否,1924.11,1866.90,,1893.72,1893.72,1870.20,1881.17,1881.17,1881.17,1868.58,1871.19
402,rule1,否,做多,2025-03-16 10:29,1906.82,2025-03-16 20:59,1888.41,41,-0.965,-135.15,-1.3515,136.7977,是,是,1924.11,1860.38,,1907.75,1913.68,1906.42,1913.28,1913.28,1913.28,1903.80,1906.82
404,rule1,否,做空,2025-03-16 15:14,1891.74,2025-03-17 02:29,1910.00,44,-0.965,-135.15,-2.1624,134.6353,是,是,1924.11,1860.38,,1888.01,1897.13,1886.36,1896.83,1896.82,1898.33,1891.41,1891.74
