第一笔交易号,第一笔方向,第一笔入场,第一笔出场,第一笔收益%,第一笔结果,第二笔交易号,第二笔方向,第二笔入场,第二笔出场,第二笔收益%,第二笔结果,重叠类型,重叠开始,重叠结束,重叠时长(分钟),第一笔合约收益%,第二笔合约收益%,综合收益%
346,做空,2025-04-12 00:45:00,2025-04-12 09:45:00,0.667,止盈,348,做空,2025-04-12 05:15:00,2025-04-12 05:30:00,0.667,止盈,双倍做空,2025-04-12 05:15:00,2025-04-12 05:30:00,15.0,40.0,40.0,1.334
347,做空,2025-04-12 03:15:00,2025-04-12 09:00:00,0.667,止盈,348,做空,2025-04-12 05:15:00,2025-04-12 05:30:00,0.667,止盈,双倍做空,2025-04-12 05:15:00,2025-04-12 05:30:00,15.0,40.0,40.0,1.334
352,做多,2025-04-13 12:15:00,2025-04-13 21:30:00,-1.667,止损,353,做多,2025-04-13 18:30:00,2025-04-13 21:45:00,-1.667,止损,双倍做多,2025-04-13 18:30:00,2025-04-13 21:30:00,180.0,-100.0,-100.0,-3.334
355,做多,2025-04-14 13:45:00,2025-04-14 15:45:00,0.667,止盈,356,做多,2025-04-14 15:15:00,2025-04-14 15:45:00,0.667,止盈,双倍做多,2025-04-14 15:15:00,2025-04-14 15:45:00,30.0,40.0,40.0,1.334
357,做空,2025-04-14 16:00:00,2025-04-14 18:30:00,-1.667,止损,358,做多,2025-04-14 17:30:00,2025-04-14 18:00:00,0.667,止盈,方向冲突,2025-04-14 17:30:00,2025-04-14 18:00:00,30.0,-100.0,40.0,-1.0
360,做空,2025-04-15 11:00:00,2025-04-15 22:15:00,0.667,止盈,361,做空,2025-04-15 18:00:00,2025-04-15 18:30:00,0.667,止盈,双倍做空,2025-04-15 18:00:00,2025-04-15 18:30:00,30.0,40.0,40.0,1.334
366,做空,2025-04-17 02:30:00,2025-04-17 04:00:00,-1.667,止损,367,做多,2025-04-17 03:30:00,2025-04-17 03:45:00,0.667,止盈,方向冲突,2025-04-17 03:30:00,2025-04-17 03:45:00,15.0,-100.0,40.0,-1.0
390,做空,2025-04-30 22:30:00,2025-05-01 04:00:00,-1.667,止损,391,做空,2025-05-01 02:15:00,2025-05-01 10:00:00,-1.667,止损,双倍做空,2025-05-01 02:15:00,2025-05-01 04:00:00,105.0,-100.0,-100.0,-3.334
392,做空,2025-05-01 18:30:00,2025-05-01 21:30:00,0.667,止盈,393,做空,2025-05-01 19:00:00,2025-05-01 21:30:00,0.667,止盈,双倍做空,2025-05-01 19:00:00,2025-05-01 21:30:00,150.0,40.0,40.0,1.334
415,做多,2025-05-11 14:45:00,2025-05-11 15:45:00,-1.667,止损,416,做多,2025-05-11 15:15:00,2025-05-11 17:15:00,0.667,止盈,双倍做多,2025-05-11 15:15:00,2025-05-11 15:45:00,30.0,-100.0,40.0,-1.0
416,做多,2025-05-11 15:15:00,2025-05-11 17:15:00,0.667,止盈,417,做空,2025-05-11 16:15:00,2025-05-11 19:45:00,-1.667,止损,方向冲突,2025-05-11 16:15:00,2025-05-11 17:15:00,60.0,40.0,-100.0,-1.0
418,做空,2025-05-12 00:30:00,2025-05-12 03:15:00,-1.667,止损,419,做空,2025-05-12 02:45:00,2025-05-12 06:30:00,0.667,止盈,双倍做空,2025-05-12 02:45:00,2025-05-12 03:15:00,30.0,-100.0,40.0,-1.0
422,做多,2025-05-13 02:30:00,2025-05-13 03:15:00,0.667,止盈,423,做空,2025-05-13 03:00:00,2025-05-13 06:30:00,-1.667,止损,方向冲突,2025-05-13 03:00:00,2025-05-13 03:15:00,15.0,40.0,-100.0,-1.0
428,做多,2025-05-14 03:45:00,2025-05-14 09:00:00,0.667,止盈,429,做多,2025-05-14 07:30:00,2025-05-14 08:15:00,0.667,止盈,双倍做多,2025-05-14 07:30:00,2025-05-14 08:15:00,45.0,40.0,40.0,1.334
432,做多,2025-05-15 17:15:00,2025-05-15 20:30:00,0.667,止盈,433,做多,2025-05-15 17:45:00,2025-05-15 19:15:00,0.667,止盈,双倍做多,2025-05-15 17:45:00,2025-05-15 19:15:00,90.0,40.0,40.0,1.334
439,做多,2025-05-17 04:45:00,2025-05-17 08:15:00,-1.667,止损,440,做多,2025-05-17 05:30:00,2025-05-17 07:45:00,-1.667,止损,双倍做多,2025-05-17 05:30:00,2025-05-17 07:45:00,135.0,-100.0,-100.0,-3.334
441,做多,2025-05-17 08:30:00,2025-05-17 10:00:00,-1.667,止损,442,做多,2025-05-17 09:15:00,2025-05-17 12:30:00,0.667,止盈,双倍做多,2025-05-17 09:15:00,2025-05-17 10:00:00,45.0,-100.0,40.0,-1.0
448,做多,2025-05-19 12:45:00,2025-05-19 13:30:00,0.667,止盈,449,做空,2025-05-19 13:15:00,2025-05-19 14:45:00,0.667,止盈,方向冲突,2025-05-19 13:15:00,2025-05-19 13:30:00,15.0,40.0,40.0,1.334
450,做空,2025-05-19 21:45:00,2025-05-20 00:00:00,-1.667,止损,451,做空,2025-05-19 22:45:00,2025-05-20 01:00:00,-1.667,止损,双倍做空,2025-05-19 22:45:00,2025-05-20 00:00:00,75.0,-100.0,-100.0,-3.334
452,做多,2025-05-20 02:00:00,2025-05-20 04:15:00,0.667,止盈,453,做多,2025-05-20 02:30:00,2025-05-20 03:30:00,0.667,止盈,双倍做多,2025-05-20 02:30:00,2025-05-20 03:30:00,60.0,40.0,40.0,1.334
454,做空,2025-05-20 07:45:00,2025-05-20 08:45:00,0.667,止盈,455,做空,2025-05-20 08:15:00,2025-05-20 08:45:00,0.667,止盈,双倍做空,2025-05-20 08:15:00,2025-05-20 08:45:00,30.0,40.0,40.0,1.334
462,做空,2025-05-22 19:45:00,2025-05-22 21:30:00,0.667,止盈,463,做多,2025-05-22 21:15:00,2025-05-22 22:30:00,0.667,止盈,方向冲突,2025-05-22 21:15:00,2025-05-22 21:30:00,15.0,40.0,40.0,1.334
466,做多,2025-05-24 06:45:00,2025-05-24 11:15:00,0.667,止盈,467,做多,2025-05-24 08:30:00,2025-05-24 11:00:00,0.667,止盈,双倍做多,2025-05-24 08:30:00,2025-05-24 11:00:00,150.0,40.0,40.0,1.334
470,做空,2025-05-27 16:15:00,2025-05-28 00:45:00,-1.667,止损,471,做多,2025-05-27 20:15:00,2025-05-27 21:00:00,0.667,止盈,方向冲突,2025-05-27 20:15:00,2025-05-27 21:00:00,45.0,-100.0,40.0,-1.0
470,做空,2025-05-27 16:15:00,2025-05-28 00:45:00,-1.667,止损,472,做空,2025-05-27 21:15:00,2025-05-27 21:45:00,0.667,止盈,双倍做空,2025-05-27 21:15:00,2025-05-27 21:45:00,30.0,-100.0,40.0,-1.0
470,做空,2025-05-27 16:15:00,2025-05-28 00:45:00,-1.667,止损,473,做多,2025-05-27 22:30:00,2025-05-28 00:15:00,0.667,止盈,方向冲突,2025-05-27 22:30:00,2025-05-28 00:15:00,105.0,-100.0,40.0,-1.0
474,做空,2025-05-28 00:45:00,2025-05-28 07:15:00,0.667,止盈,475,做空,2025-05-28 01:45:00,2025-05-28 02:30:00,0.667,止盈,双倍做空,2025-05-28 01:45:00,2025-05-28 02:30:00,45.0,40.0,40.0,1.334
492,做空,2025-06-06 11:00:00,2025-06-06 17:30:00,-1.667,止损,493,做多,2025-06-06 13:30:00,2025-06-06 17:15:00,0.667,止盈,方向冲突,2025-06-06 13:30:00,2025-06-06 17:15:00,225.0,-100.0,40.0,-1.0
497,做空,2025-06-10 07:45:00,2025-06-10 14:00:00,0.667,止盈,498,做多,2025-06-10 10:15:00,2025-06-10 19:00:00,0.667,止盈,方向冲突,2025-06-10 10:15:00,2025-06-10 14:00:00,225.0,40.0,40.0,1.334
498,做多,2025-06-10 10:15:00,2025-06-10 19:00:00,0.667,止盈,499,做空,2025-06-10 15:30:00,2025-06-10 19:30:00,-1.667,止损,方向冲突,2025-06-10 15:30:00,2025-06-10 19:00:00,210.0,40.0,-100.0,-1.0
500,做多,2025-06-10 21:45:00,2025-06-11 02:45:00,0.667,止盈,501,做多,2025-06-11 00:15:00,2025-06-11 02:45:00,0.667,止盈,双倍做多,2025-06-11 00:15:00,2025-06-11 02:45:00,150.0,40.0,40.0,1.334
503,做多,2025-06-12 05:45:00,2025-06-12 16:00:00,-1.667,止损,504,做空,2025-06-12 11:45:00,2025-06-12 15:30:00,0.667,止盈,方向冲突,2025-06-12 11:45:00,2025-06-12 15:30:00,225.0,-100.0,40.0,-1.0
506,做空,2025-06-13 11:15:00,2025-06-13 16:00:00,-1.667,止损,507,做多,2025-06-13 12:15:00,2025-06-13 14:45:00,0.667,止盈,方向冲突,2025-06-13 12:15:00,2025-06-13 14:45:00,150.0,-100.0,40.0,-1.0
506,做空,2025-06-13 11:15:00,2025-06-13 16:00:00,-1.667,止损,508,做空,2025-06-13 15:30:00,2025-06-13 16:45:00,0.667,止盈,双倍做空,2025-06-13 15:30:00,2025-06-13 16:00:00,30.0,-100.0,40.0,-1.0
512,做多,2025-06-14 23:45:00,2025-06-15 07:30:00,0.667,止盈,513,做多,2025-06-15 01:00:00,2025-06-15 02:00:00,0.667,止盈,双倍做多,2025-06-15 01:00:00,2025-06-15 02:00:00,60.0,40.0,40.0,1.334
512,做多,2025-06-14 23:45:00,2025-06-15 07:30:00,0.667,止盈,514,做多,2025-06-15 01:30:00,2025-06-15 02:00:00,0.667,止盈,双倍做多,2025-06-15 01:30:00,2025-06-15 02:00:00,30.0,40.0,40.0,1.334
513,做多,2025-06-15 01:00:00,2025-06-15 02:00:00,0.667,止盈,514,做多,2025-06-15 01:30:00,2025-06-15 02:00:00,0.667,止盈,双倍做多,2025-06-15 01:30:00,2025-06-15 02:00:00,30.0,40.0,40.0,1.334
519,做空,2025-06-17 08:30:00,2025-06-17 11:00:00,-1.667,止损,520,做空,2025-06-17 09:00:00,2025-06-17 10:30:00,0.667,止盈,双倍做空,2025-06-17 09:00:00,2025-06-17 10:30:00,90.0,-100.0,40.0,-1.0
519,做空,2025-06-17 08:30:00,2025-06-17 11:00:00,-1.667,止损,521,做多,2025-06-17 10:30:00,2025-06-17 10:45:00,0.667,止盈,方向冲突,2025-06-17 10:30:00,2025-06-17 10:45:00,15.0,-100.0,40.0,-1.0
538,做多,2025-06-25 12:45:00,2025-06-26 05:00:00,0.667,止盈,539,做多,2025-06-25 23:00:00,2025-06-26 03:15:00,0.667,止盈,双倍做多,2025-06-25 23:00:00,2025-06-26 03:15:00,255.0,40.0,40.0,1.334
552,做多,2025-07-13 22:45:00,2025-07-14 03:30:00,0.667,止盈,553,做多,2025-07-14 01:00:00,2025-07-14 02:15:00,0.667,止盈,双倍做多,2025-07-14 01:00:00,2025-07-14 02:15:00,75.0,40.0,40.0,1.334
555,做多,2025-07-14 22:45:00,2025-07-15 09:30:00,-1.667,止损,556,做多,2025-07-15 08:45:00,2025-07-15 11:15:00,-1.667,止损,双倍做多,2025-07-15 08:45:00,2025-07-15 09:30:00,45.0,-100.0,-100.0,-3.334
558,做空,2025-07-16 14:30:00,2025-07-16 22:45:00,-1.667,止损,559,做空,2025-07-16 22:00:00,2025-07-16 22:45:00,-1.667,止损,双倍做空,2025-07-16 22:00:00,2025-07-16 22:45:00,45.0,-100.0,-100.0,-3.334
569,做空,2025-07-20 23:00:00,2025-07-21 01:45:00,0.667,止盈,570,做空,2025-07-21 00:45:00,2025-07-21 01:00:00,0.667,止盈,双倍做空,2025-07-21 00:45:00,2025-07-21 01:00:00,15.0,40.0,40.0,1.334
586,做空,2025-07-25 01:15:00,2025-07-25 08:00:00,0.667,止盈,587,做空,2025-07-25 01:45:00,2025-07-25 07:15:00,0.667,止盈,双倍做空,2025-07-25 01:45:00,2025-07-25 07:15:00,330.0,40.0,40.0,1.334
591,做空,2025-07-26 10:30:00,2025-07-27 02:15:00,0.667,止盈,592,做空,2025-07-26 16:30:00,2025-07-26 19:30:00,0.667,止盈,双倍做空,2025-07-26 16:30:00,2025-07-26 19:30:00,180.0,40.0,40.0,1.334
591,做空,2025-07-26 10:30:00,2025-07-27 02:15:00,0.667,止盈,593,做多,2025-07-26 19:00:00,2025-07-27 06:15:00,0.667,止盈,方向冲突,2025-07-26 19:00:00,2025-07-27 02:15:00,435.0,40.0,40.0,1.334
592,做空,2025-07-26 16:30:00,2025-07-26 19:30:00,0.667,止盈,593,做多,2025-07-26 19:00:00,2025-07-27 06:15:00,0.667,止盈,方向冲突,2025-07-26 19:00:00,2025-07-26 19:30:00,30.0,40.0,40.0,1.334
595,做空,2025-07-29 04:00:00,2025-07-29 08:30:00,0.667,止盈,596,做空,2025-07-29 05:45:00,2025-07-29 08:30:00,0.667,止盈,双倍做空,2025-07-29 05:45:00,2025-07-29 08:30:00,165.0,40.0,40.0,1.334
599,做空,2025-07-30 09:45:00,2025-07-30 19:15:00,0.667,止盈,600,做空,2025-07-30 10:15:00,2025-07-30 17:30:00,0.667,止盈,双倍做空,2025-07-30 10:15:00,2025-07-30 17:30:00,435.0,40.0,40.0,1.334
