交易编号,策略类型,方向,入场时间,入场价格,出场时间,出场价格,持仓时长,价格变动%,合约收益%,盈亏USDT,累计资金USDT,结果,K1最高,K1最低,K2最高,K2最低
110,rule1,做空,2025-10-16 02:00,110983.00,2025-10-16 02:15,111213.71,15分钟,-0.208%,-10.39%,-0.1039,-1.3247,收盘价平仓,111186.78,110716.88,111199.00,110826.21
111,rule1,做多,2025-10-16 07:00,110855.06,2025-10-16 07:15,110880.00,15分钟,0.022%,1.12%,0.0112,-1.3134,收盘价平仓,111204.57,110667.97,110951.09,110590.10
112,rule2,做空,2025-10-16 09:30,111021.47,2025-10-16 09:45,111299.99,15分钟,-0.251%,-12.54%,-0.1254,-1.4389,收盘价平仓,111109.65,110417.32,111050.70,110705.34
113,rule1,做多,2025-10-16 12:45,110966.03,2025-10-16 13:00,111116.30,15分钟,0.135%,6.77%,0.0677,-1.3712,收盘价平仓,111584.99,110933.29,111119.46,110800.88
114,rule1,做多,2025-10-16 15:30,110910.32,2025-10-16 15:45,110584.20,15分钟,-0.294%,-14.70%,-0.1470,-1.5182,收盘价平仓,111402.59,110731.39,110947.62,110727.50
115,rule1,做空,2025-10-16 17:45,111146.31,2025-10-16 18:00,111375.83,15分钟,-0.207%,-10.33%,-0.1033,-1.6214,收盘价平仓,111427.48,109635.15,111633.14,111010.43
116,rule1,做多,2025-10-16 22:15,110343.41,2025-10-16 22:30,111352.01,15分钟,0.914%,45.70%,0.4570,-1.1644,收盘价平仓,110936.00,110215.50,110466.00,109728.00
117,rule2,做多,2025-10-16 23:00,110587.95,2025-10-16 23:15,110044.97,15分钟,-0.491%,-24.55%,-0.2455,-1.4099,收盘价平仓,111420.02,110343.42,111404.99,110486.12
118,rule1,做多,2025-10-16 23:00,110587.95,2025-10-16 23:15,110044.97,15分钟,-0.491%,-24.55%,-0.2455,-1.6554,收盘价平仓,111404.99,110486.12,110727.35,110149.56
119,rule1,做多,2025-10-17 00:00,108563.87,2025-10-17 00:15,108133.98,15分钟,-0.396%,-19.80%,-0.1980,-1.8534,收盘价平仓,109257.72,108361.69,108810.68,108196.00
120,rule2,做多,2025-10-17 03:30,107979.99,2025-10-17 03:45,108197.66,15分钟,0.202%,10.08%,0.1008,-1.7526,收盘价平仓,108751.02,107700.00,108194.14,107700.00
121,rule1,做多,2025-10-17 15:15,106297.60,2025-10-17 15:30,105759.73,15分钟,-0.506%,-25.30%,-0.2530,-2.0056,收盘价平仓,106901.85,106194.19,106570.46,106156.46
122,rule1,做多,2025-10-17 16:15,105173.59,2025-10-17 16:30,105080.01,15分钟,-0.089%,-4.45%,-0.0445,-2.0501,收盘价平仓,105669.43,105050.00,105459.98,104505.00
123,rule1,做多,2025-10-17 18:00,104638.87,2025-10-17 18:15,104014.60,15分钟,-0.597%,-29.83%,-0.2983,-2.3484,收盘价平仓,105182.62,104520.70,104839.49,104259.99
124,rule1,做多,2025-10-17 19:30,105868.10,2025-10-17 19:45,105683.72,15分钟,-0.174%,-8.71%,-0.0871,-2.4355,收盘价平仓,106651.22,105769.85,106319.16,105702.75
125,rule1,做多,2025-10-17 21:15,105505.06,2025-10-17 21:30,105326.67,15分钟,-0.169%,-8.45%,-0.0845,-2.5200,收盘价平仓,105538.45,104916.66,105626.67,104876.19
126,rule1,做空,2025-10-17 21:30,105326.67,2025-10-17 21:45,105835.63,15分钟,-0.483%,-24.16%,-0.2416,-2.7616,收盘价平仓,105626.67,104876.19,106091.46,105180.56
127,rule1,做多,2025-10-18 01:30,106353.05,2025-10-18 01:45,106453.27,15分钟,0.094%,4.71%,0.0471,-2.7145,收盘价平仓,106729.00,106184.65,106558.58,106146.68
128,rule1,做空,2025-10-20 01:15,109056.57,2025-10-20 01:30,109154.38,15分钟,-0.090%,-4.48%,-0.0448,-2.7593,收盘价平仓,109167.78,108615.20,109437.43,109004.94
129,rule1,做空,2025-10-20 12:00,110393.58,2025-10-20 12:15,110062.11,15分钟,0.300%,15.01%,0.1501,-2.6092,收盘价平仓,110427.86,109061.43,110535.13,110100.00
130,rule1,做多,2025-10-21 00:45,110683.19,2025-10-21 01:00,110563.99,15分钟,-0.108%,-5.38%,-0.0538,-2.6631,收盘价平仓,110981.01,110408.00,110694.50,110110.00
131,rule1,做空,2025-10-21 22:15,109679.80,2025-10-21 22:30,109944.45,15分钟,-0.241%,-12.06%,-0.1206,-2.7837,收盘价平仓,109810.49,108408.00,110597.97,109501.05
132,rule1,做多,2025-10-22 01:00,112729.19,2025-10-22 01:15,112386.83,15分钟,-0.304%,-15.19%,-0.1519,-2.9356,收盘价平仓,113580.89,112465.33,112993.67,112374.76
133,rule1,做多,2025-10-22 08:30,108064.68,2025-10-22 08:45,107986.14,15分钟,-0.073%,-3.63%,-0.0363,-2.9719,收盘价平仓,108553.67,107853.25,108319.63,107841.20
134,rule2,做多,2025-10-22 22:15,107940.55,2025-10-22 22:30,107805.55,15分钟,-0.125%,-6.25%,-0.0625,-3.0344,收盘价平仓,109014.34,107800.00,108807.17,108000.00
135,rule1,做空,2025-10-22 23:00,108402.89,2025-10-22 23:15,107886.97,15分钟,0.476%,23.80%,0.2380,-2.7965,收盘价平仓,108998.00,107656.00,109163.88,108358.80
136,rule1,做空,2025-10-22 23:45,108416.50,2025-10-23 00:00,108429.79,15分钟,-0.012%,-0.61%,-0.0061,-2.8026,收盘价平仓,108600.00,107737.04,108653.30,108214.79
137,rule1,做空,2025-10-23 09:15,108188.76,2025-10-23 09:30,108232.78,15分钟,-0.041%,-2.03%,-0.0203,-2.8229,收盘价平仓,108443.09,107813.20,108500.00,108032.08
138,rule1,做多,2025-10-23 22:15,109296.67,2025-10-23 22:30,109551.64,15分钟,0.233%,11.66%,0.1166,-2.7063,收盘价平仓,109551.20,108850.00,109460.20,108723.13
139,rule1,做多,2025-10-24 21:45,110937.94,2025-10-24 22:00,110581.40,15分钟,-0.321%,-16.07%,-0.1607,-2.8670,收盘价平仓,111311.70,110684.46,110969.33,110379.51
140,rule1,做空,2025-10-26 17:30,112332.00,2025-10-26 17:45,112528.83,15分钟,-0.175%,-8.76%,-0.0876,-2.9546,收盘价平仓,112740.00,111708.63,112779.81,112217.36
141,rule1,做空,2025-10-26 19:45,113286.09,2025-10-26 20:00,113728.00,15分钟,-0.390%,-19.50%,-0.1950,-3.1496,收盘价平仓,113370.38,112689.00,113466.23,113076.67
