交易编号,方向,K2/K1比例,入场时间,入场价格,出场时间,出场价格,持仓K线数,合约收益%,盈亏USDT,累计资金USDT,结果
193,做空,0.564,2025-08-19 17:00,4266.68,2025-08-19 21:30,4337.93,18,-100.20,-1.0020,8.1660,止损
194,做多,0.657,2025-08-20 01:00,4158.75,2025-08-20 07:30,4089.30,26,-100.20,-1.0020,7.1640,止损
195,做多,0.502,2025-08-25 06:30,4753.31,2025-08-25 07:00,4791.34,2,48.00,0.4800,7.6440,止盈
196,做空,0.501,2025-08-25 15:00,4642.24,2025-08-25 15:30,4605.10,2,48.00,0.4800,8.1240,止盈
197,做多,0.666,2025-08-27 01:00,4535.11,2025-08-27 03:15,4571.39,9,48.00,0.4800,8.6040,止盈
198,做空,0.623,2025-08-27 03:30,4554.82,2025-08-27 07:00,4630.89,14,-100.20,-1.0020,7.6020,止损
199,做多,0.504,2025-08-28 07:45,4506.71,2025-08-28 11:30,4542.76,15,48.00,0.4800,8.0820,止盈
200,做空,0.576,2025-09-02 11:15,4370.49,2025-09-02 20:00,4335.53,35,48.00,0.4800,8.5620,止盈
201,做空,0.672,2025-09-02 22:00,4354.76,2025-09-02 23:00,4319.92,4,48.00,0.4800,9.0420,止盈
202,做多,0.638,2025-09-05 02:30,4299.74,2025-09-05 06:45,4334.14,17,48.00,0.4800,9.5220,止盈
203,做多,0.534,2025-09-05 20:30,4433.18,2025-09-05 20:45,4468.65,1,48.00,0.4800,10.0020,止盈
204,做多,0.558,2025-09-06 00:00,4295.17,2025-09-06 03:15,4329.53,13,48.00,0.4800,10.4820,止盈
205,做空,0.589,2025-09-10 22:00,4435.61,2025-09-10 22:45,4400.13,3,48.00,0.4800,10.9620,止盈
206,做空,0.649,2025-09-12 23:00,4533.08,2025-09-13 01:30,4608.78,10,-100.20,-1.0020,9.9600,止损
207,做空,0.580,2025-09-18 09:45,4618.95,2025-09-18 14:00,4582.00,17,48.00,0.4800,10.4400,止盈
208,做空,0.501,2025-09-29 06:15,4108.42,2025-09-29 21:45,4177.03,62,-100.20,-1.0020,9.4380,止损
209,做空,0.659,2025-09-30 08:45,4206.03,2025-09-30 13:45,4172.38,20,48.00,0.4800,9.9180,止盈
210,做多,0.657,2025-10-02 10:00,4376.30,2025-10-02 14:15,4411.31,17,48.00,0.4800,10.3980,止盈
211,做多,0.666,2025-10-09 03:15,4516.73,2025-10-09 10:30,4441.30,29,-100.20,-1.0020,9.3960,止损
212,做空,1.461,2025-10-09 22:15,4341.51,2025-10-09 22:30,4306.78,1,48.00,0.4800,9.8760,止盈
213,做多,0.522,2025-10-11 06:15,3867.31,2025-10-11 06:45,3898.25,2,48.00,0.4800,10.3560,止盈
214,做空,1.353,2025-10-11 07:15,3865.51,2025-10-11 07:45,3834.59,2,48.00,0.4800,10.8360,止盈
215,做多,0.578,2025-10-11 08:15,3847.31,2025-10-11 09:15,3783.06,4,-100.20,-1.0020,9.8340,止损
216,做多,0.515,2025-10-11 19:15,3823.66,2025-10-11 23:00,3854.25,15,48.00,0.4800,10.3140,止盈
217,做空,0.608,2025-10-14 05:00,4267.81,2025-10-14 08:45,4233.67,15,48.00,0.4800,10.7940,止盈
218,做多,0.596,2025-10-14 11:15,4141.33,2025-10-14 13:30,4072.17,9,-100.20,-1.0020,9.7920,止损
219,做多,0.638,2025-10-17 00:30,3894.16,2025-10-17 00:45,3925.31,1,48.00,0.4800,10.2720,止盈
220,做多,1.182,2025-10-17 21:15,3778.50,2025-10-17 21:45,3808.73,2,48.00,0.4800,10.7520,止盈
221,做多,1.455,2025-10-17 21:45,3789.57,2025-10-17 22:30,3726.28,3,-100.20,-1.0020,9.7500,止损
222,做多,0.681,2025-10-27 16:45,4166.83,2025-10-28 00:30,4200.16,31,48.00,0.4800,10.2300,止盈
