交易编号,方向,结果,K1柱体,突破力度比,K1开盘,K1最高,K1最低,K1收盘,K2开盘,K2最高,K2最低,K2收盘
1722,做空,止盈,29.5300000000002,-0.7297663393159511,3526.41,3563.14,3522.06,3555.94,3555.97,3580.0,3543.61,3543.62
533,做空,止盈,40.039999999999964,-0.7312687312687313,1904.91,1945.58,1904.19,1944.95,1944.94,1959.0,1933.47,1943.15
1463,做多,止损,29.139999999999418,-0.7316403568977397,4431.23,4431.24,4392.41,4402.09,4402.09,4409.92,4390.14,4408.5
1011,做空,止损,14.650000000000091,-0.7317406143344838,2498.54,2513.78,2497.6,2513.19,2513.2,2522.49,2508.32,2509.29
1200,做多,止盈,34.74000000000024,-0.7322970639032781,3810.73,3815.86,3775.54,3775.99,3776.0,3790.42,3775.39,3789.27
1518,做多,止盈,28.05999999999949,-0.7323592302209748,4163.9,4166.8,4130.58,4135.84,4135.84,4146.25,4129.24,4144.21
605,做多,止盈,21.75999999999999,-0.7325367647058851,1871.94,1875.47,1842.68,1850.18,1850.2,1859.53,1842.42,1857.27
1104,做多,止盈,11.110000000000127,-0.7326732673267538,2444.61,2444.61,2431.8,2433.5,2433.5,2436.47,2428.89,2435.25
1706,做空,止盈,31.43000000000029,-0.7327394209354116,3842.58,3883.13,3842.58,3874.01,3874.01,3888.0,3865.61,3868.02
12,做空,止盈,25.59999999999991,-0.7328124999999933,3442.35,3470.0,3439.23,3467.95,3467.94,3472.97,3457.99,3458.99
689,做空,止盈,7.490000000000009,-0.7329773030707614,1517.44,1525.17,1516.34,1524.93,1524.94,1528.54,1521.83,1522.25
569,做空,止盈,16.140000000000327,-0.7335811648079107,2037.37,2056.58,2036.64,2053.51,2053.51,2057.91,2048.48,2049.21
93,做多,止损,24.639999999999873,-0.7345779220779222,3435.14,3436.31,3409.82,3410.5,3410.49,3418.21,3406.62,3411.98
1310,做空,止盈,27.329999999999927,-0.7347237467983894,3832.11,3864.0,3827.71,3859.44,3859.44,3865.64,3847.79,3857.69
1272,做多,止损,20.889999999999873,-0.7352800382958241,3775.58,3781.18,3752.59,3754.69,3754.69,3765.82,3747.11,3754.27
1365,做多,止盈,53.5,-0.7357009345794502,4451.66,4453.89,4390.32,4398.16,4398.16,4414.53,4382.08,4393.48
1087,做空,止盈,12.7800000000002,-0.7363067292644528,2241.95,2254.73,2239.19,2254.73,2254.73,2261.59,2248.6,2254.6
977,做多,止盈,32.90000000000009,-0.7364741641337371,2622.04,2626.3,2589.14,2589.14,2589.14,2602.07,2578.2,2594.6
496,做多,止损,10.210000000000036,-0.7365328109696332,2216.31,2217.7,2204.21,2206.1,2206.14,2210.18,2197.75,2206.67
1147,做多,止盈,15.090000000000146,-0.7375745526838666,3049.79,3051.74,3030.14,3034.7,3034.7,3040.61,3016.91,3040.23
1096,做多,止损,20.490000000000236,-0.7379209370424459,2300.59,2303.0,2275.33,2280.1,2280.11,2287.88,2274.02,2284.72
1182,做空,止损,18.579999999999927,-0.7384284176534074,3545.1,3570.0,3541.43,3563.68,3563.68,3580.0,3555.15,3555.71
402,做空,止盈,9.989999999999782,-0.7387387387387658,2212.11,2223.97,2211.23,2222.1,2222.09,2226.53,2218.61,2223.71
1233,做空,止盈,17.690000000000055,-0.7388355002826525,3659.82,3686.08,3653.44,3677.51,3677.51,3691.21,3666.51,3683.27
1110,做多,止盈,12.83999999999969,-0.739096573208759,2449.45,2449.46,2435.15,2436.61,2436.6,2439.97,2434.63,2438.84
1223,做多,止盈,39.7199999999998,-0.7396777442094727,3575.23,3579.37,3533.0,3535.51,3535.5,3549.99,3526.28,3544.94
429,做空,止盈,9.5300000000002,-0.7397691500524217,2129.16,2138.7,2123.36,2138.69,2138.7,2144.08,2130.41,2131.32
1085,做多,止盈,14.260000000000218,-0.7398316970546999,2284.4,2284.4,2267.6,2270.14,2270.13,2273.85,2267.56,2270.68
