trade_id,strategy,contain,direction,entry_time,entry_price,exit_time,exit_price,bars_held,price_change_%,contract_return_%,pnl_usdt,cum_pnl_usdt,trailing_activated,weak,highest,lowest,trail_price_at_exit,k1_open,k1_high,k1_low,k1_close,k2_open,k2_high,k2_low,k2_close
235,rule1,否,做空,2025-06-23 08:59,2240.93,2025-06-24 00:44,2193.39,62,2.121,297.00,11.8800,529.2721,是,是,2313.53,2188.00,,2233.66,2254.60,2225.52,2251.93,2251.94,2260.42,2238.10,2240.93
236,rule1,否,做多,2025-06-24 00:44,2220.86,2025-06-24 01:29,2273.21,2,2.357,330.00,13.2000,542.4721,否,否,2284.15,2210.16,,2229.85,2236.29,2207.03,2210.67,2210.67,2227.29,2188.00,2220.86
237,rule1,否,做多,2025-06-24 06:44,2395.30,2025-06-24 17:29,2446.11,42,2.121,297.00,11.8800,554.3521,是,是,2449.14,2376.11,,2404.00,2438.68,2391.13,2426.23,2426.23,2432.00,2385.00,2395.30
238,rule1,否,做空,2025-06-24 19:44,2408.04,2025-07-03 00:14,2431.29,785,-0.965,-135.15,-2.1624,552.1897,是,是,2539.50,2373.00,,2409.70,2418.30,2397.72,2417.70,2417.69,2421.20,2404.18,2408.04
239,rule1,否,做多,2025-07-03 01:44,2565.00,2025-07-03 21:44,2619.41,79,2.121,297.00,11.8800,564.0697,是,是,2635.01,2552.28,,2564.16,2589.28,2564.15,2581.09,2581.09,2583.44,2555.15,2565.00
240,rule1,否,做空,2025-07-04 01:29,2572.76,2025-07-04 22:14,2518.18,82,2.121,297.00,4.7520,568.8217,是,是,2603.60,2510.52,,2572.05,2580.00,2572.00,2580.00,2579.99,2581.00,2572.39,2572.76
241,rule1,否,做多,2025-07-07 00:14,2551.28,2025-07-09 01:14,2605.40,195,2.121,297.00,2.9700,571.7917,是,是,2620.00,2512.00,,2552.13,2558.72,2550.08,2558.72,2558.71,2560.81,2550.00,2551.28
242,rule1,否,做空,2025-07-09 03:59,2610.61,2025-07-10 03:44,2635.81,94,-0.965,-135.15,-1.3515,570.4402,是,是,2764.37,2589.78,,2612.00,2612.59,2601.57,2606.17,2606.17,2612.64,2603.88,2610.61
243,rule1,否,做多,2025-07-10 07:29,2777.16,2025-07-11 02:14,2836.08,74,2.121,297.00,2.9700,573.4102,是,是,2840.69,2755.50,,2780.01,2780.01,2772.31,2772.31,2772.31,2783.16,2771.81,2777.16
244,rule1,否,做空,2025-07-11 02:14,2819.82,2025-07-11 05:29,2926.57,12,-3.786,-530.00,-8.4800,564.9302,否,否,2927.00,2795.78,,2818.39,2834.96,2810.59,2830.37,2830.38,2840.69,2819.32,2819.82
245,rule1,否,做多,2025-07-11 07:14,2967.81,2025-07-11 17:44,3030.77,41,2.121,297.00,4.7520,569.6822,是,是,3040.15,2913.75,,2963.83,2976.99,2962.76,2973.88,2973.88,2974.63,2961.21,2967.81
246,rule1,否,做多,2025-07-11 17:59,3014.99,2025-07-14 18:44,3078.95,290,2.121,297.00,2.9700,572.6522,是,是,3079.39,2903.85,,3016.53,3040.15,3012.30,3024.01,3024.01,3030.50,3008.78,3014.99
247,rule1,否,做多,2025-07-14 19:29,3063.15,2025-07-16 07:14,3128.13,142,2.121,297.00,2.9700,575.6222,是,是,3140.31,2932.46,,3066.78,3083.00,3062.60,3073.91,3073.90,3077.47,3055.48,3063.15
248,rule1,否,做空,2025-07-16 15:14,3156.51,2025-07-17 02:14,3186.98,43,-0.965,-135.15,-1.3515,574.2707,是,是,3359.11,3143.81,,3156.00,3166.25,3153.42,3165.23,3165.22,3169.00,3154.58,3156.51
249,rule1,否,做多,2025-07-17 06:29,3374.63,2025-07-17 15:44,3454.17,36,2.357,330.00,5.2800,579.5507,否,否,3468.00,3310.77,,3374.01,3390.83,3374.01,3384.25,3384.24,3388.00,3372.69,3374.63
250,rule1,否,做空,2025-07-17 20:59,3425.61,2025-07-18 09:14,3458.68,48,-0.965,-135.15,-5.4060,574.1447,是,是,3583.90,3361.20,,3415.53,3438.45,3413.00,3437.02,3437.00,3439.00,3425.07,3425.61
251,rule1,否,做多,2025-07-18 10:14,3605.36,2025-07-20 11:44,3681.85,197,2.121,297.00,4.7520,578.8967,是,是,3694.99,3477.58,,3603.60,3625.60,3593.75,3614.89,3614.89,3617.96,3588.25,3605.36
252,rule1,否,做空,2025-07-20 12:44,3648.58,2025-07-21 22:59,3683.80,136,-0.965,-135.15,-2.1624,576.7343,是,是,3860.00,3636.06,,3643.38,3658.00,3638.00,3656.15,3656.16,3666.22,3648.58,3648.58
253,rule1,否,做空,2025-07-21 22:59,3841.02,2025-07-22 00:29,3750.48,5,2.357,330.00,5.2800,582.0143,否,否,3851.56,3749.19,,3835.42,3849.97,3831.88,3847.73,3847.72,3860.00,3834.00,3841.02
254,rule1,否,做多,2025-07-22 01:59,3769.90,2025-07-24 00:59,3733.51,187,-0.965,-135.15,-5.4060,576.6083,是,是,3799.99,3566.09,,3770.11,3782.00,3740.37,3748.00,3748.01,3772.07,3738.00,3769.90
255,rule1,否,做空,2025-07-24 04:59,3568.00,2025-07-24 22:59,3602.44,71,-0.965,-135.15,-1.3515,575.2568,是,是,3737.50,3502.85,,3566.63,3574.40,3543.01,3574.30,3574.29,3579.16,3562.57,3568.00
