交易编号,方向,策略类型,入场时间,入场价格,出场时间,出场价格,持仓K线数,持仓分钟数,价格变动%,合约收益%,盈亏USDT
250,做空,rule1,2025-05-22 02:45:00,106965.05,2025-05-22 07:00:00,109104.35,17,255,-2.0,-100.0,-1.0
259,做多,rule1,2025-05-29 21:45:00,107601.08,2025-05-30 07:45:00,105449.06,40,600,-2.0,-100.0,-1.0
265,做多,rule1,2025-06-06 01:00:00,103410.35,2025-06-06 04:15:00,101342.14,13,195,-2.0,-100.0,-1.0
266,做多,rule1,2025-06-06 02:15:00,103275.16,2025-06-06 04:15:00,101209.66,8,120,-2.0,-100.0,-1.0
285,做空,rule1,2025-06-23 06:15:00,100318.21,2025-06-23 21:30:00,102324.57,61,915,-2.0,-100.0,-1.0
292,做空,rule1,2025-07-14 10:30:00,119746.12,2025-07-14 13:15:00,122141.04,11,165,-2.0,-100.0,-1.0
293,做多,rule1,2025-07-14 22:45:00,121158.89,2025-07-15 09:45:00,118735.71,44,660,-2.0,-100.0,-1.0
302,做空,rule1,2025-07-22 13:15:00,117161.29,2025-07-22 21:30:00,119504.52,33,495,-2.0,-100.0,-1.0
316,做多,rule1,2025-08-14 21:00:00,119249.19,2025-08-15 23:30:00,116864.21,106,1590,-2.0,-100.0,-1.0
320,做多,rule1,2025-08-19 21:45:00,115192.0,2025-08-20 02:45:00,112888.16,20,300,-2.0,-100.0,-1.0
344,做多,rule1,2025-10-07 21:45:00,123891.68,2025-10-07 23:30:00,121413.85,7,105,-2.0,-100.0,-1.0
350,做多,rule1,2025-10-10 23:30:00,119570.69,2025-10-11 03:00:00,117179.28,14,210,-2.0,-100.0,-1.0
351,做多,rule1,2025-10-11 00:00:00,118942.59,2025-10-11 03:15:00,116563.74,13,195,-2.0,-100.0,-1.0
353,做空,rule1,2025-10-11 05:30:00,110809.05,2025-10-11 05:45:00,113025.23,1,15,-2.0,-100.0,-1.0
359,做空,rule1,2025-10-12 23:15:00,113169.49,2025-10-13 04:30:00,115432.88,21,315,-2.0,-100.0,-1.0
373,做多,rule2,2025-10-16 23:00:00,110587.95,2025-10-16 23:45:00,108376.19,3,45,-2.0,-100.0,-1.0
376,做多,rule1,2025-10-17 15:15:00,106297.6,2025-10-17 18:15:00,104171.65,12,180,-2.0,-100.0,-1.0
379,做空,rule1,2025-10-17 21:30:00,105326.67,2025-10-18 00:00:00,107433.2,10,150,-2.0,-100.0,-1.0
383,做空,rule1,2025-10-21 22:15:00,109679.8,2025-10-21 22:45:00,111873.4,2,30,-2.0,-100.0,-1.0
384,做多,rule1,2025-10-22 01:00:00,112729.19,2025-10-22 05:15:00,110474.61,17,255,-2.0,-100.0,-1.0
391,做空,rule1,2025-10-26 17:30:00,112332.0,2025-10-27 06:00:00,114578.64,50,750,-2.0,-100.0,-1.0
394,做多,rule1,2025-10-29 03:30:00,114006.54,2025-10-29 23:30:00,111726.41,80,1200,-2.0,-100.0,-1.0
409,做多,rule1,2025-11-05 01:15:00,101356.75,2025-11-05 05:30:00,99329.62,17,255,-2.0,-100.0,-1.0
